Variante,N,K,Threads,Chunk,Rep,Tempo
static,500000,28,4,0,1,18.144222
static,500000,28,4,0,2,18.111364
static,500000,28,4,0,3,18.034753
static,500000,28,4,0,4,18.490877
static,500000,28,4,0,5,19.667804
dynamic,500000,28,4,1,1,21.168868
guided,500000,28,4,1,1,20.630367
dynamic,500000,28,4,1,2,20.558783
guided,500000,28,4,1,2,23.761507
dynamic,500000,28,4,1,3,21.000383
guided,500000,28,4,1,3,20.419467
dynamic,500000,28,4,1,4,20.384608
guided,500000,28,4,1,4,20.875126
dynamic,500000,28,4,1,5,20.208159
guided,500000,28,4,1,5,20.210783
dynamic,500000,28,4,4,1,20.798785
guided,500000,28,4,4,1,20.350478
dynamic,500000,28,4,4,2,20.340376
guided,500000,28,4,4,2,20.366215
dynamic,500000,28,4,4,3,20.308327
guided,500000,28,4,4,3,20.406221
dynamic,500000,28,4,4,4,20.339064
guided,500000,28,4,4,4,20.724036
dynamic,500000,28,4,4,5,20.409276
guided,500000,28,4,4,5,20.556258
dynamic,500000,28,4,16,1,20.531746
guided,500000,28,4,16,1,20.407056
dynamic,500000,28,4,16,2,20.420379
guided,500000,28,4,16,2,20.456506
dynamic,500000,28,4,16,3,20.828497
guided,500000,28,4,16,3,20.387938
dynamic,500000,28,4,16,4,21.347528
guided,500000,28,4,16,4,21.143655
dynamic,500000,28,4,16,5,20.623711
guided,500000,28,4,16,5,20.744896
dynamic,500000,28,4,64,1,23.022318
guided,500000,28,4,64,1,21.617801
dynamic,500000,28,4,64,2,22.073543
guided,500000,28,4,64,2,22.823556
dynamic,500000,28,4,64,3,22.724708
guided,500000,28,4,64,3,22.096118
dynamic,500000,28,4,64,4,21.292467
guided,500000,28,4,64,4,23.130710
dynamic,500000,28,4,64,5,21.741871
guided,500000,28,4,64,5,20.907648
